Date,Open,High,Low,Close,Adj Close,Volume
4/3/2006,45,58,44.049999,48.139999,41.433208,71996400
4/10/2006,48.400002,52.459999,46.23,47.220001,40.641373,8537385
4/17/2006,47.400002,52.189999,47.200001,51.52,44.342316,4579930
4/24/2006,49.400002,60.799999,48.799999,54.810001,47.173943,10562395
5/1/2006,54.799999,58,51.029999,51.740002,44.531654,1406325
5/8/2006,51.799999,52,48.419998,48.709999,41.92379,1302360
5/15/2006,48.799999,49.799999,41,42.23,36.346581,1552315
5/22/2006,41.400002,44.360001,34,42.860001,36.888809,598270
5/29/2006,43.790001,44.400002,34.799999,36.700001,31.587006,474520
6/5/2006,37.099998,37.200001,24,27.139999,23.358892,343180
6/12/2006,28.6,28.99,23,28.07,24.159334,363970
6/19/2006,29.99,36.599998,26,36.34,31.277174,307250
6/26/2006,37.77,37.779999,28.299999,28.879999,24.85648,209675
7/3/2006,29.99,31.6,29.16,29.620001,25.493385,41275
7/10/2006,29.4,29.4,27.200001,27.92,24.030224,47165
7/17/2006,28,29.290001,24,25.43,21.887129,41135
7/24/2006,25,27.34,24.1,26.4,22.721992,28110
7/31/2006,27.219999,27.35,24.98,25.73,22.145334,91585
8/7/2006,26.15,28.200001,25,28.200001,24.271223,55565
8/14/2006,29.6,31.09,28.799999,29.309999,25.226572,77730
8/21/2006,30.200001,30.200001,28.690001,29.82,25.665516,55495
8/28/2006,29.700001,31.4,29.200001,29.99,25.811842,160805
9/4/2006,30.139999,32.700001,29.23,31.610001,27.206141,266445
9/11/2006,32.599998,32.830002,29.610001,30.200001,25.992582,218570
9/18/2006,30.200001,30.450001,28.01,28.459999,24.494995,168830
9/25/2006,28.6,28.610001,26.799999,28.120001,24.445198,335690
10/2/2006,28.120001,28.4,27,27.530001,23.932301,146900
10/9/2006,28.129999,30.200001,27.719999,28.51,24.784227,685760
10/16/2006,29.34,29.34,26.83,28.299999,24.601671,548360
10/23/2006,28.200001,28.9,27.030001,27.84,24.201788,125475
10/30/2006,27.299999,29.799999,27.23,29.030001,25.236279,393975
11/6/2006,29.379999,30.299999,27.299999,27.98,24.323488,561055
11/13/2006,28,28.99,26.6,26.700001,23.21077,267020
11/20/2006,26,28.48,25.48,26.41,22.95866,362575
11/27/2006,27,29.6,25.6,28.32,24.619059,1281700
12/4/2006,28.57,29.299999,26.639999,26.9,23.384624,471225
12/11/2006,26.51,27,23.83,26.1,22.689175,233410
12/18/2006,26.120001,26.549999,25.200001,25.76,22.393608,130000
12/25/2006,25.76,31.190001,25.42,27.610001,24.001848,2289075
1/1/2007,27.610001,29,27.02,27.780001,24.149632,409655
1/8/2007,28.370001,28.49,27.23,28.049999,24.384342,212960
1/15/2007,28.129999,28.559999,27.6,27.790001,24.158321,345490
1/22/2007,28.549999,28.549999,26.129999,26.459999,23.002129,137900
1/29/2007,26.32,27,25.280001,25.440001,22.115427,178750
2/5/2007,25.5,26.52,25,25.120001,21.837248,172210
2/12/2007,25.6,25.6,23.709999,24.860001,21.611223,78510
